Season,Episode,TV Rating
1,1,4.16
1,2,3.57
1,3,2.31
1,4,2.1
1,5,2.41
1,6,2.06
1,7,2.26
1,8,2.46
1,9,2.09
1,10,2.08
1,11,1.81
1,12,2.13
1,13,2.03
2,1,3.47
2,2,2.41
2,3,2.59
2,4,2.64
2,5,2.71
2,6,2.37
2,7,2.22
2,8,2.64
2,9,2.79
2,10,2.5
2,11,2.5
2,12,2.92
2,13,2.68
3,1,3.07
3,2,2.71
3,3,2.71
3,4,2.21
3,5,2.13
3,6,2.02
3,7,2.15
3,8,2.16
3,9,2.26
3,10,2.32
3,11,2.49
3,12,2.46
3,13,2.66
4,1,3.59
4,2,2.45
4,3,2.44
4,4,2.08
4,5,2.42
4,6,2.3
4,7,2.15
4,8,2.18
4,9,2.32
4,10,2.4
4,11,2.45
4,12,2.44
4,13,2.25
5,1,2.84
5,2,2.23
5,3,2.5
5,4,2.36
5,5,2.39
5,6,2.33
5,7,2.1
5,8,2.32
5,9,2.24
5,10,2.04
5,11,2.05
5,12,2.04
5,13,2.37
