"","thomas_num","thomas_name","icpsr","congress","year","st_name","cd","dem","majority","elected","female","afam","latino","votepct","votepct_sq","dwnom1","meddist","majdist","deleg_size","speaker","chair","subchr","power","budget","seniority","sensq","state_leg","state_leg_prof","maj_leader","min_leader","south","south_dem","ss_bills","ss_aic","ss_abc","ss_pass","ss_law","s_bills","s_aic","s_abc","s_pass","s_law","c_bills","c_aic","c_abc","c_pass","c_law","all_bills","all_aic","all_abc","all_pass","all_law","les","leslag"
"1","Numeric counter for order in THOMAS data from 93rd - 110th Congresses","Legislator name, as given in THOMAS","ICPSR number, according to Poole and Rosenthal","Congress number","Year at start of Congress","Two-letter state code","Congressional district number","1 = Democrat","1 = majority party member","Year first elected to House","1 = female","1 = African American","1 = Latino/a","Percent vote received to enter this Congress","votepct squared","First-dimension DW-NOMINATE score","Absolute distance from floor median (DW-NOMINATE)","Absolute distance from majority party median (DW-NOMINATE)","Size of House delegation from member's state","1= Speaker","1 = Committee chair","1 = Subcommittee chair","1 = Member of Appropriation, Rules, or Ways and Means","1 = Member of Budget","Seniority, number of terms served counting current","Seniority squared","1 = served in state legislature","state_leg * state legislature professionalism","1 = Majority party leadership","1 = Minority party leadership","11 states of confederacy and OK and KY","1 = Southern Democrat","Number of substantive and significant bills sponsored","Number of substantive and significant bills with action in committee","Number of substantive and significant bills with action beyond committee","Number of substantive and significant bills passed House","Number of substantive and significant bills became law","Number of substantive bills sponsored","Number of substantive bills with action in committee","Number of substantive bills with action beyond committee","Number of substantive bills passed House","Number of substantive bills became law","Number of commemorative bills sponsored","Number of commemorative bills with action in committee","Number of commemorative bills with action beyond committee","Number of commemorative bills passed House","Number of commemorative bills became law","Total bills sponsored","Total bills with action in committee","Total bills with action beyond committee","Total bills passed House","Total bills became law","Legislative Effectiveness Score (1-5-10)","Lagged LES"
"2","1","Abdnor, James","14000","93","1973","SD","2","0","0","1972","0","0","0","55","3025","0.228","0.275000006","0.547500014","6","0","0","0","0","0","1","1","1","0.104000002","0","0","0","0","0","0","0","0","0","21","0","0","0","0","1","0","0","0","0","22","0","0","0","0","0.109570265",""
"3","2","Abzug, Bella","13001","93","1973","NY","20","1","1","1970","1","0","0","56","3136","-0.686999977","0.639999986","0.367499977","39","0","0","0","0","0","2","4","0","0","0","0","0","0","0","0","0","0","0","128","0","0","0","0","8","1","1","1","1","136","1","1","1","1","0.762431085",""
"4","3","Adams, Brock","10700","93","1973","WA","7","1","1","1964","0","0","0","85","7225","-0.361000001","0.31400001","0.041500002","7","0","0","1","0","1","5","25","0","0","0","0","0","0","2","1","1","1","0","33","1","1","1","1","2","0","0","0","0","37","2","2","2","1","1.236478448",""
"5","4","Addabbo, Joseph","10500","93","1973","NY","7","1","1","1960","0","0","0","75","5625","-0.400000006","0.353000015","0.080500007","39","0","0","1","1","0","7","49","0","0","0","0","0","0","0","0","0","0","0","28","0","0","0","0","10","0","0","0","0","38","0","0","0","0","0.15505226",""
"6","5","Albert, Carl","","93","1973","OK","3","","0","1946","0","0","0","93","8649","","","","6","1","0","0","0","0","14","196","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0.001033682",""
"7","6","Alexander, Bill","12000","93","1973","AR","1","1","1","1968","0","0","0","100","10000","-0.280999988","0.233999982","0.038500011","4","0","0","1","0","0","3","9","0","0","0","0","1","1","2","2","2","1","1","51","1","1","1","0","0","0","0","0","0","53","3","3","2","1","1.875050545",""
"8","7","Anderson, John","10501","93","1973","IL","16","0","0","1960","0","0","0","72","5184","0.101999998","0.149000004","0.421499997","24","0","0","0","1","0","7","49","0","0","0","1","0","0","1","0","0","0","0","54","0","0","0","0","0","0","0","0","0","55","0","0","0","0","0.289430887",""
"9","8","Anderson, Glenn","12001","93","1973","CA","35","1","1","1968","0","0","0","75","5625","-0.293000013","0.246000007","0.026499987","43","0","0","0","0","0","3","9","1","0.526000023","0","0","0","0","1","0","0","0","0","84","0","0","0","0","2","0","0","0","0","87","0","0","0","0","0.446550518",""
"10","9","Andrews, Ike","14001","93","1973","NC","4","1","1","1972","0","0","0","50","2500","-0.097999997","0.050999999","0.221500009","11","0","0","0","0","0","1","1","1","0.189999998","0","0","1","1","0","0","0","0","0","17","0","0","0","0","0","0","0","0","0","17","0","0","0","0","0.087862954",""
