PhotoDate,ThumbsUp,PeaceSign,Fists,Selfie,Pointing,AloneInPhoto,WithTeammates,WithStaff,WithCelebrity,WithRegPpl,OtherPhotog,Training,Shirtless,HikedUpShorts,GameDayPhoto,Team Activity,Adidas,Video,Portuguese,Brazil
5/21/14,N,N,N,N,,N,Y,N,N,N,Y,Y,N,,N,Y,N,N,,N
5/22/14,N,N,N,N,,N,N,N,N,N,N,N,N,,N,N,Y,N,,N
5/22/14,N,N,N,N,,Y,N,N,N,N,N,N,N,,N,N,N,N,,N
5/22/14,N,N,N,N,,N,N,Y,N,N,Y,Y,N,,N,Y,N,N,,N
5/23/14,N,N,N,N,,Y,N,N,N,N,Y,N,N,,N,N,Y,N,,N
5/23/14,N,Y,N,N,,N,Y,N,N,N,Y,N,N,,N,N,N,N,,N
5/24/14,N,N,N,N,,N,Y,N,N,N,Y,Y,N,,N,Y,N,N,,N
5/24/14,N,N,N,Y,,N,Y,N,N,N,N,N,N,,N,Y,N,N,,N
5/25/14,N,N,N,N,,N,N,N,N,N,Y,N,N,,N,N,N,N,,N
5/25/14,N,N,N,N,,Y,N,N,N,N,Y,N,N,,N,N,N,N,,N
5/26/14,N,N,N,N,,N,Y,N,N,N,Y,Y,N,,N,Y,N,N,,N
5/26/14,N,N,N,N,,N,Y,N,N,N,Y,Y,N,,N,Y,N,N,,N
5/28/14,N,N,N,N,,N,Y,N,N,N,Y,Y,N,,N,Y,N,N,,N
5/28/14,N,N,N,N,,N,Y,N,Y,N,Y,N,N,,N,Y,N,N,,N
5/29/14,Y,Y,N,N,,N,Y,N,N,N,Y,N,N,,N,Y,N,N,,N
5/30/14,N,N,N,N,,Y,N,N,N,N,Y,Y,N,,N,Y,N,N,,N
5/31/14,N,N,Y,N,,Y,N,N,N,N,Y,N,N,,N,N,N,N,,N
6/1/14,N,N,N,N,,Y,N,N,N,N,Y,N,N,,N,N,Y,N,,N
6/1/14,N,N,N,N,,Y,N,N,N,N,Y,N,N,,N,N,N,N,,N
6/1/14,N,N,N,N,,N,N,Y,N,N,Y,N,N,,Y,Y,N,N,,N
6/2/14,N,N,Y,N,,N,N,N,Y,N,Y,N,N,,N,N,N,N,,N
6/2/14,Y,N,N,N,,N,N,N,Y,N,Y,N,Y,,N,N,N,N,,N
6/4/14,N,N,N,N,,N,N,Y,N,N,Y,Y,N,,N,N,N,N,,N
6/5/14,N,N,N,Y,,N,Y,N,N,N,N,N,N,,N,N,N,N,,N
6/5/14,N,N,N,N,,N,Y,N,N,N,Y,Y,N,,N,Y,N,N,,N
6/7/14,Y,N,N,N,,N,Y,N,N,N,Y,N,N,,Y,Y,N,N,,N
6/7/14,N,N,Y,N,,N,Y,N,N,N,Y,N,N,,Y,Y,N,N,,N
6/7/14,Y,N,N,N,,N,Y,N,N,N,Y,N,N,,N,Y,N,N,,N
6/7/14,Y,N,N,N,,Y,N,N,N,N,Y,Y,N,,Y,Y,N,N,,N
6/7/14,N,N,N,N,,N,N,N,Y,N,Y,Y,Y,,Y,Y,N,N,,N
6/8/14,Y,N,N,Y,,N,Y,N,N,N,N,N,N,,N,Y,N,Y,,Y
6/8/14,N,N,N,Y,,N,Y,N,N,N,N,N,N,,N,Y,N,N,,Y
6/8/14,N,N,N,N,,N,N,N,N,Y,N,N,N,,N,Y,N,Y,,Y
6/8/14,N,N,N,N,,N,Y,N,N,N,Y,N,N,,Y,Y,N,N,,Y
6/8/14,N,N,N,N,,N,Y,Y,N,N,Y,Y,N,,N,Y,N,N,,Y
6/9/14,N,N,N,N,,N,Y,N,N,N,Y,Y,N,,N,Y,N,N,,Y
6/9/14,N,N,N,N,,N,N,N,N,Y,Y,N,N,,N,Y,N,N,,Y
6/10/14,N,Y,N,N,,N,Y,Y,N,N,Y,N,N,,N,Y,N,N,,Y
