date,pose,ThumbsUp
5/21/14,ThumbsUp,0
5/22/14,ThumbsUp,0
5/22/14,ThumbsUp,0
5/22/14,ThumbsUp,0
5/23/14,ThumbsUp,0
5/23/14,ThumbsUp,0
5/24/14,ThumbsUp,0
5/24/14,ThumbsUp,0
5/25/14,ThumbsUp,0
5/25/14,ThumbsUp,0
5/26/14,ThumbsUp,0
5/26/14,ThumbsUp,0
5/28/14,ThumbsUp,0
5/28/14,ThumbsUp,0
5/29/14,ThumbsUp,1
5/30/14,ThumbsUp,0
5/31/14,ThumbsUp,0
6/1/14,ThumbsUp,0
6/1/14,ThumbsUp,0
6/1/14,ThumbsUp,0
6/2/14,ThumbsUp,0
6/2/14,ThumbsUp,1
6/4/14,ThumbsUp,0
6/5/14,ThumbsUp,0
6/5/14,ThumbsUp,0
6/7/14,ThumbsUp,1
6/7/14,ThumbsUp,0
6/7/14,ThumbsUp,1
6/7/14,ThumbsUp,1
6/7/14,ThumbsUp,0
6/8/14,ThumbsUp,1
6/8/14,ThumbsUp,0
6/8/14,ThumbsUp,0
6/8/14,ThumbsUp,0
6/8/14,ThumbsUp,0
6/9/14,ThumbsUp,0
6/9/14,ThumbsUp,0
6/10/14,ThumbsUp,0
6/10/14,ThumbsUp,1
6/11/14,ThumbsUp,0
6/12/14,ThumbsUp,0
6/12/14,ThumbsUp,0
6/14/14,ThumbsUp,0
6/14/14,ThumbsUp,0
6/15/14,ThumbsUp,0
6/15/14,ThumbsUp,0
6/16/14,ThumbsUp,0
6/16/14,ThumbsUp,0,
6/17/14,ThumbsUp,0,
6/17/14,ThumbsUp,0,
6/18/14,ThumbsUp,1,
6/18/14,ThumbsUp,0,
6/19/14,ThumbsUp,0,
6/20/14,ThumbsUp,0,
6/22/14,ThumbsUp,0,
6/22/14,ThumbsUp,0,
6/23/14,ThumbsUp,0,
6/23/14,ThumbsUp,0,
6/25/14,ThumbsUp,0,
6/25/14,ThumbsUp,0,
6/26/14,ThumbsUp,0,
6/27/14,ThumbsUp,0,
6/28/14,ThumbsUp,0,
6/29/14,ThumbsUp,1
6/29/14,ThumbsUp,1
6/30/14,ThumbsUp,0
6/30/14,ThumbsUp,0
7/1/14,ThumbsUp,0
7/1/14,ThumbsUp,0
7/1/14,ThumbsUp,0
7/2/14,ThumbsUp,0
7/2/14,ThumbsUp,1
7/3/14,ThumbsUp,0
7/3/14,ThumbsUp,1
7/3/14,ThumbsUp,0
7/3/14,ThumbsUp,0
7/4/14,ThumbsUp,0
7/4/14,ThumbsUp,1
7/4/14,ThumbsUp,1
7/5/14,ThumbsUp,1
7/5/14,ThumbsUp,0
7/6/14,ThumbsUp,1
7/6/14,ThumbsUp,0
7/7/14,ThumbsUp,0
7/7/14,ThumbsUp,0
7/8/14,ThumbsUp,0
7/8/14,ThumbsUp,1
7/8/14,ThumbsUp,0
7/9/14,ThumbsUp,0
7/9/14,ThumbsUp,0
7/10/14,ThumbsUp,0
7/10/14,ThumbsUp,0
7/10/14,ThumbsUp,0
7/10/14,ThumbsUp,0
7/10/14,ThumbsUp,0
7/11/14,ThumbsUp,0
7/11/14,ThumbsUp,0
7/11/14,ThumbsUp,0
7/11/14,ThumbsUp,0
5/21/14,PeaceSign,0
5/22/14,PeaceSign,0
5/22/14,PeaceSign,0
5/22/14,PeaceSign,0
5/23/14,PeaceSign,0
5/23/14,PeaceSign,1
5/24/14,PeaceSign,0
5/24/14,PeaceSign,0
5/25/14,PeaceSign,0
5/25/14,PeaceSign,0
5/26/14,PeaceSign,0
5/26/14,PeaceSign,0
5/28/14,PeaceSign,0
5/28/14,PeaceSign,0
5/29/14,PeaceSign,1
5/30/14,PeaceSign,0
5/31/14,PeaceSign,0
6/1/14,PeaceSign,0
6/1/14,PeaceSign,0
6/1/14,PeaceSign,0
6/2/14,PeaceSign,0
6/2/14,PeaceSign,0
6/4/14,PeaceSign,0
6/5/14,PeaceSign,0
6/5/14,PeaceSign,0
6/7/14,PeaceSign,0
6/7/14,PeaceSign,0
6/7/14,PeaceSign,0
6/7/14,PeaceSign,0
6/7/14,PeaceSign,0
6/8/14,PeaceSign,0
6/8/14,PeaceSign,0
6/8/14,PeaceSign,0
6/8/14,PeaceSign,0
6/8/14,PeaceSign,0
6/9/14,PeaceSign,0
6/9/14,PeaceSign,0
6/10/14,PeaceSign,1
6/10/14,PeaceSign,1
6/11/14,PeaceSign,0
6/12/14,PeaceSign,0
6/12/14,PeaceSign,0
6/14/14,PeaceSign,0
6/14/14,PeaceSign,0
6/15/14,PeaceSign,0
6/15/14,PeaceSign,0
6/16/14,PeaceSign,0
6/16/14,PeaceSign,0
6/17/14,PeaceSign,0
6/17/14,PeaceSign,0
6/18/14,PeaceSign,0
6/18/14,PeaceSign,0
6/19/14,PeaceSign,0
6/20/14,PeaceSign,0
6/22/14,PeaceSign,0
6/22/14,PeaceSign,0
6/23/14,PeaceSign,0
6/23/14,PeaceSign,0
6/25/14,PeaceSign,0
6/25/14,PeaceSign,0
6/26/14,PeaceSign,0
6/27/14,PeaceSign,0
6/28/14,PeaceSign,0
6/29/14,PeaceSign,0
6/29/14,PeaceSign,0
6/30/14,PeaceSign,0
6/30/14,PeaceSign,0
7/1/14,PeaceSign,0
7/1/14,PeaceSign,0
7/1/14,PeaceSign,0
7/2/14,PeaceSign,1
7/2/14,PeaceSign,0
7/3/14,PeaceSign,0
7/3/14,PeaceSign,0
7/3/14,PeaceSign,0
7/3/14,PeaceSign,0
7/4/14,PeaceSign,0
7/4/14,PeaceSign,0
7/4/14,PeaceSign,1
7/5/14,PeaceSign,0
7/5/14,PeaceSign,0
7/6/14,PeaceSign,0
7/6/14,PeaceSign,0
7/7/14,PeaceSign,0
7/7/14,PeaceSign,0
7/8/14,PeaceSign,0
7/8/14,PeaceSign,0
7/8/14,PeaceSign,1
7/9/14,PeaceSign,0
7/9/14,PeaceSign,0
7/10/14,PeaceSign,0
7/10/14,PeaceSign,0
7/10/14,PeaceSign,0
7/10/14,PeaceSign,0
7/10/14,PeaceSign,0
7/11/14,PeaceSign,0
7/11/14,PeaceSign,0
7/11/14,PeaceSign,0
7/11/14,PeaceSign,0
5/21/14,Fists,0
5/22/14,Fists,0
5/22/14,Fists,0
5/22/14,Fists,0
5/23/14,Fists,0
5/23/14,Fists,0
5/24/14,Fists,0
5/24/14,Fists,0
5/25/14,Fists,0
5/25/14,Fists,0
5/26/14,Fists,0
5/26/14,Fists,0
5/28/14,Fists,0
5/28/14,Fists,0
5/29/14,Fists,0
5/30/14,Fists,0
5/31/14,Fists,1
6/1/14,Fists,0
6/1/14,Fists,0
6/1/14,Fists,0
6/2/14,Fists,1
6/2/14,Fists,0
6/4/14,Fists,0
6/5/14,Fists,0
6/5/14,Fists,0
6/7/14,Fists,0
6/7/14,Fists,1
6/7/14,Fists,0
6/7/14,Fists,0
6/7/14,Fists,0
6/8/14,Fists,0
6/8/14,Fists,0
6/8/14,Fists,0
6/8/14,Fists,0
6/8/14,Fists,0
6/9/14,Fists,0
6/9/14,Fists,0
6/10/14,Fists,0
6/10/14,Fists,0
6/11/14,Fists,0
6/12/14,Fists,0
6/12/14,Fists,0
6/14/14,Fists,0
6/14/14,Fists,0
6/15/14,Fists,0
6/15/14,Fists,0
6/16/14,Fists,0
6/16/14,Fists,0
6/17/14,Fists,0
6/17/14,Fists,0
6/18/14,Fists,0
6/18/14,Fists,0
6/19/14,Fists,1
6/20/14,Fists,0
6/22/14,Fists,0
6/22/14,Fists,0
6/23/14,Fists,0
6/23/14,Fists,0
6/25/14,Fists,0
6/25/14,Fists,0
6/26/14,Fists,0
6/27/14,Fists,0
6/28/14,Fists,0
6/29/14,Fists,0
6/29/14,Fists,0
6/30/14,Fists,0
6/30/14,Fists,0
7/1/14,Fists,0
7/1/14,Fists,0
7/1/14,Fists,0
7/2/14,Fists,0
7/2/14,Fists,0
7/3/14,Fists,1
7/3/14,Fists,0
7/3/14,Fists,0
7/3/14,Fists,0
7/4/14,Fists,0
7/4/14,Fists,0
7/4/14,Fists,0
7/5/14,Fists,0
7/5/14,Fists,0
7/6/14,Fists,0
7/6/14,Fists,0
7/7/14,Fists,0
7/7/14,Fists,0
7/8/14,Fists,0
7/8/14,Fists,0
7/8/14,Fists,1
7/9/14,Fists,0
7/9/14,Fists,0
7/10/14,Fists,0
7/10/14,Fists,0
7/10/14,Fists,0
7/10/14,Fists,0
7/10/14,Fists,0
7/11/14,Fists,0
7/11/14,Fists,0
7/11/14,Fists,0
7/11/14,Fists,0
5/21/14,HikedUpShorts,0
5/22/14,HikedUpShorts,0
5/22/14,HikedUpShorts,0
5/22/14,HikedUpShorts,0
5/23/14,HikedUpShorts,0
5/23/14,HikedUpShorts,0
5/24/14,HikedUpShorts,0
5/24/14,HikedUpShorts,0
5/25/14,HikedUpShorts,0
5/25/14,HikedUpShorts,0
5/26/14,HikedUpShorts,0
5/26/14,HikedUpShorts,0
5/28/14,HikedUpShorts,0
5/28/14,HikedUpShorts,0
5/29/14,HikedUpShorts,0
5/30/14,HikedUpShorts,0
5/31/14,HikedUpShorts,0
6/1/14,HikedUpShorts,0
6/1/14,HikedUpShorts,0
6/1/14,HikedUpShorts,0
6/2/14,HikedUpShorts,0
6/2/14,HikedUpShorts,0
6/4/14,HikedUpShorts,0
6/5/14,HikedUpShorts,0
6/5/14,HikedUpShorts,0
6/7/14,HikedUpShorts,0
6/7/14,HikedUpShorts,0
