PhotoDate,ThumbsUp,PeaceSign,Fists,Selfie,Pointing,AloneInPhoto,WithTeammates,WithStaff,WithCelebrity,WithRegPpl,OtherPhotog,Training,Shirtless,HikedUpShorts,GameDayPhoto,Team Activity,Adidas,Video,Portuguese,Brazil
5/21/14,0,0,0,0,,0,1,0,0,0,1,1,0,,0,1,0,0,,0
5/22/14,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,1,0,,0
5/22/14,0,0,0,0,,1,0,0,0,0,0,0,0,,0,0,0,0,,0
5/22/14,0,0,0,0,,0,0,1,0,0,1,1,0,,0,1,0,0,,0
5/23/14,0,0,0,0,,1,0,0,0,0,1,0,0,,0,0,1,0,,0
5/23/14,0,1,0,0,,0,1,0,0,0,1,0,0,,0,0,0,0,,0
5/24/14,0,0,0,0,,0,1,0,0,0,1,1,0,,0,1,0,0,,0
5/24/14,0,0,0,1,,0,1,0,0,0,0,0,0,,0,1,0,0,,0
5/25/14,0,0,0,0,,0,0,0,0,0,1,0,0,,0,0,0,0,,0
5/25/14,0,0,0,0,,1,0,0,0,0,1,0,0,,0,0,0,0,,0
5/26/14,0,0,0,0,,0,1,0,0,0,1,1,0,,0,1,0,0,,0
5/26/14,0,0,0,0,,0,1,0,0,0,1,1,0,,0,1,0,0,,0
5/28/14,0,0,0,0,,0,1,0,0,0,1,1,0,,0,1,0,0,,0
5/28/14,0,0,0,0,,0,1,0,1,0,1,0,0,,0,1,0,0,,0
5/29/14,1,1,0,0,,0,1,0,0,0,1,0,0,,0,1,0,0,,0
5/30/14,0,0,0,0,,1,0,0,0,0,1,1,0,,0,1,0,0,,0
5/31/14,0,0,1,0,,1,0,0,0,0,1,0,0,,0,0,0,0,,0
6/1/14,0,0,0,0,,1,0,0,0,0,1,0,0,,0,0,1,0,,0
6/1/14,0,0,0,0,,1,0,0,0,0,1,0,0,,0,0,0,0,,0
6/1/14,0,0,0,0,,0,0,1,0,0,1,0,0,,1,1,0,0,,0
